Entidad,Municipio,Cargo,Nombre de regiduría,Número de lista,Distrito,Tipo de Candidatura,Coalición,Partido político,Nombre,Género de propietaria,Acción Afirmativa
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,8,Candidatura partidista,Sin información,PVEM,VANESSA VERA ROMERO,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,8,Candidatura partidista,Sin información,Movimiento Ciudadano,NORA LETICIA VALDEZ ARELLANO,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,8,Candidatura partidista,Sin información,MORENA,ANA LUISA CARDONA LANDEROS,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,9,Candidatura partidista,Sin información,PVEM,ALEXIA PAULETTE ESPARZA SANTACRUZ,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,9,Candidatura partidista,Sin información,Movimiento Ciudadano,LUZ EDITH ARELLANO AVELAR,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,9,Candidatura partidista,Sin información,MORENA,ANA CARMEN MARTINEZ AVILA,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,9,Candidatura partidista,Fuerza y Corazón por Aguascalientes,Sin información,ALMA HILDA MEDINA MACIAS,female,Personas con discapacidad permanente
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,10,Candidatura partidista,Sin información,PVEM,LITZY JACQUELINE NARANJO MACIAS,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,10,Candidatura partidista,Sin información,MORENA,ROSALVA MENDOZA SAAVEDRA,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,10,Candidatura partidista,Fuerza y Corazón por Aguascalientes,Sin información,NANCY JEANETTE GUTIERREZ RUVALCABA,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,11,Candidatura partidista,Sin información,Partido del Trabajo,ERIKA FABIOLA LOPEZ GONZALEZ,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,11,Candidatura partidista,Sin información,PVEM,ERIKA TERESA LOZANO DELGADILLO,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,11,Candidatura partidista,Sin información,Movimiento Ciudadano,DANIELA MIYUKY LOPEZ MUÑOZ,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,11,Candidatura partidista,Fuerza y Corazón por Aguascalientes,Sin información,ARLETTE IVETTE MUÑOZ CERVANTES,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,12,Candidatura partidista,Sin información,PVEM,MA DEL ROSARIO BAEZ RICO,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,12,Candidatura partidista,Sin información,MORENA,MIRIAM YASZU MUÑOZ MARQUEZ,female,NO
Aguascalientes,Sin información,Diputaciones MR,Sin información,Sin información,12,Candidatura partidista,Fuerza y Corazón por Aguascalientes,Sin información,LUCIA DE LEON URSUA,female,NO
